(seguindo o Banco de dados)			(audiovisual, bibliográfico, cartográfico, textual...)	(artigo, fotografia...)	(impresso, datilografado, manuscrito, digital...)		(/palavras chave)		Cidade/ Instituição/ em que foi publicado		Orientador; Coorientador	Recorte temporal	Recorte Espacial	Bairro/Local	
10	A EXPANSÃO URBANA DO MUNICÍPIO DE SÃO JOÃO DEL-REI: UMA NOTA	Jadna Téssia Oliveira	Textual	Artigo	Digital	Geografia	-	2014	Alfenas (UNIFAL)	Analisa o crescimento urbano do município de São João del-Rei levando em consideração o padrão da urbanização brasileira. Realizando levantamento e análise bibliográfica e de dados dos últimos censos demográficos realizados pelo IBGE, com o intuito de compreender como se dá a organização espacial do município em questão.	Márcio Toledo	1970 - 2010	São João del- Rei	-	https://drive.google.com/file/d/1dKg46hC048B_2ruXA052dTWwwEcgeXTf/view?usp=sharing
11	A EXPANSÃO URBANA, O MERCADO IMOBILIÁRIO E A PROLIFERAÇÃO DOS ENCLAVES RESIDÊNCIAS HORIZONTAIS NO BAIRRO COLÔNIA DO MARÇAL, EM SÃO JOÃO DEL-REI (MG)	Jeziel Silveira Silva	Textual	Artigo	Digital	Geografia	condomínios habitacionais fechados; expansão urbana; agente imobiliário	2019	Londrina (UEL)	Este artigo analisa o surgimento e consolidação de enclaves fechados, no município de São João del-Rei (MG), através da análise de sua proliferação no sentido norte-nordeste da cidade, no bairro Colônia do Marçal. Além disso, como objetivos específicos, analisar a atuação dos agentes envolvidos, como os donos de terras ou incorporadores do setor imobiliário para a propagação deste modelo de habitação, além de fatores como medo, violência e natureza, que são as principais causas da busca por estes enclaves, principalmente pela classe média e alta.	Marcio Roberto Toledo	2000 - 2018	São João del- Rei	Colônia do Marçal 	https://drive.google.com/file/d/1dlSK_CF_J72KO91Y2YLk0G0DuBPLOPPI/view?usp=sharing
12	A FORMAÇÃO SOCIOESPACIAL DE SÃO JOÃO DELREI/MG E O PROCESSO DE REGIONALIZAÇÃO DO CAMPO DAS VERTENTES  	Bruno Henrique dos Santos	Textual	Dissertação	Digital	Geografia	formação socioespacial; espaço urbano; regionalização; materialidade das técnicas	2017	São João del-Rei (UFSJ)	Explica como se deu a produção socioespacial de São João del-Rei através da periodização histórico-espacial da sua expansão urbana, além de dimensionar a importância da microrregião de São João delRei na mesorregião do Campo das Vertentes. Identifica os agentes sociais que comandam o processo de expansão urbana do município.	Ligia Maria Brochado de Aguiar	Séc. XVII - 2016	São João del- Rei	Área urbana de São João del Rei	https://drive.google.com/file/d/16EftM64sB06xIr_WJjMVmrKa5l9bGyVF/view?usp=sharing
13	A FORMAÇÃO URBANA DA CIDADE DE SÃO JOÃO DEL-REI	Roberto Maldos	Textual	Artigo	Digital	História	formação urbana; determinações da câmara e vila e cidade.	2001	São João del-Rei (UFSJ)	Portanto, este trabalho traz um conjunto de contribuições iniciais, visando o aprofundamento dos estudos relacionados à formação urbana de São João del-Rei.	-	-	São João del- Rei	-	https://drive.google.com/file/d/1fkX0Wcq7yd4CCFPWvFAnJBD1MNZsDsxd/view?usp=sharing
14	A HUMANIZAÇÃO EM ESTABELECIMENTOS DE SAÚDE: CENTRO DE TRATAMENTO ONCOLÓGICO EM SÃO JOÃO DEL-REI.	Hannah Soares	Textual	TFG	Digital	Arquitetura	-	2018	São João del-Rei (UFSJ)	PROJETO: Faz levantamentos de dados referentes ao SUS no município de São João del-Rei, visita e resume atividades da ASAPAC (Associação de Amparo a Pacientes com Câncer) e levanta dados urbanísticos do bairro Vila Belizário (Proposta de projeto).	Anna Sophia Barbosa Baracho	-	São João del- Rei	Centro e Vila Belizário	https://drive.google.com/file/d/1BWBP4lWJg3dEL5mZfzhbklBfaiugzsTn/view?usp=sharing
15	A INSERÇÃO SOCIAL ATRAVÉS DE PRÁTICAS DE EDUCAÇÃO FÍSICA COMO MEDIDAS INTERVENTIVAS PARA PACIENTES PSICÓTICOS E NEURÓTICOS GRAVES DO CAPS DE SÃO JOÃO DEL-REI/ MG	Andrea Carmen Guimarães; Renata Cristiane Alves Pascoal; Iara Zilda de Carvalho; Kleber do Sacramento Adão	Textual	Artigo	Digital	Educação Física	educação física; saúde mental; inserção social; CAPS	2012	São João del-Rei (UFSJ)	O projeto consiste na aproximação da Educação Física com a saúde mental, a partir da intervenção junto a indivíduos com transtornos psíquicos. O objetivo é colaborar para a melhoria da saúde física e mental e inserção social dos mesmos. As intervenções ocorreram no CAPS de São João del-Rei/MG, duas vezes por semana, com uma hora de duração.	-	2010-2011	São João del- Rei	-	https://drive.google.com/file/d/1GqbPfW0Jw3ghAi232ci8CTg0-hdeFnnA/view?usp=sharing
16	A MODERNIDADE E OS CINEMAS NA CIDADE DE SÃO JOÃO DELREI (1905 – 1961): REGISTROS ARQUITETÔNICOS DO TEATRO MUNICIPAL, CINE GLÓRIA E CLUBE TEATRAL ARTUR AZEVEDO	Marcos Antônio Fernandes	Textual	Dissertação	Digital	Interdisciplinar (Artes, Urbanidades e Sustentabilidade)	modernidade; cineteatro de rua; cinema de rua; patrimônio cultural; patrimônio documental	2019	São João del- Rei (UFSJ)	Objetiva abordar a chegada da atividade de exibição cinematográfica à cidade de São João del-Rei no contexto de sua modernização em fins do século XIX e primeira metade do século XX, e como esta se sedentariza em edifícios específicos, o quais hoje, podem ser interpretados como patrimônio cultural.	Mateus de Carvalho Martins;  Cláudio José Guilarduci	1905-1962	São João del- Rei	Matozinhos, Fábricas. Tejuco	https://drive.google.com/file/d/157jfdQFgUChW5nyFkCV_g4Bmccv9Uhn1/view?usp=sharing
17	A OCUPAÇÃO DO ESPAÇO PELA MULHER: UMA ANÁLISE SOBRE OPRESSÃO E RESISTÊNCIA  (SO TEM O RESUMO NO DRIVE DA ARQUITETURA)	Elidiane Soares Piltelckow	Textual	TFG	Digital	Arquitetura	-	2017	São João del-Rei (UFSJ)	Faz levantamento da representatividade feminina na cidade de São João del-Rei.	Alba Bispo	2017	São João del- Rei	Confirmar	https://drive.google.com/file/d/1lWOdZVFAaUaLp-DV5IrkS1912Bt78nAC/view?usp=sharing
18	A ORDEM CARNAVALESCA	Maria Isaura Pereira De Queiroz	Textual	Artigo	Digital	Sociologia	carnaval; ordem; estrutura social; cotidiano	1994	São Paulo (USP)	A autora estuda as manifestações carnavalescas nas cidades de Tatuí, Piracicaba e São João del Rei. Baseando-se nas observações das formas pelas quais o Carnaval é celebrado nos bailes e nas ruas.	-	1981	Piracicaba; São João del- Rei; Tatuí 	-	https://drive.google.com/file/d/18o3vJiMpGgXBTK-Rgtfesns3jwo5hEVV/view?usp=sharing
19	A ORGANIZAÇÃO SOCIAL DOS TRABALHADORES FABRIS EM SÃO JOÃO DEL-REI: O CASO DA COMPANHIA INDUSTRIAL SÃO JOANENSE.  	Ana Paula Mendonça de Resende	Textual	Dissertação	Digital	História	-	2003	Belo Horizonte (UFMG)	Essa dissertação discute a organização social dos operários da Companhia Industrial São Joanense. Bem como analisa a  Companhia enquanto um lugar da produção, inicialmente, como empreendimento econômico com raiz na vida urbana, abordou-se de que maneira, a cidade se articula e se apresentava na época da fundação da fábrica, uma vez que contava com novos elementos, entre eles, a Ferrovia Oeste de Minas e a chegada de imigrantes italianos.	-	1891-1935	São João del- Rei	Bairro Fábricas	https://drive.google.com/file/d/18nsuqksLFClATWLHwuDWLNcrI50OPzLS/view?usp=sharing
20	A PRÁTICA DA INTEGRALIDADE NOS CRAS DO MUNICÍPIO DE SÃO JOÃO DEL REI-MG	Lucas De Sousa Teixeira	Textual	Dissertação	Digital	Psicologia	CRAS; PAIF; serviço de convivência e fortalecimento de vínculos; integralidade; intersetorialidade	2016	São João del-Rei (UFSJ)	Analisa os fatores que facilitam e os fatores que limitam a efetivação da integralidade e da intersetorialidade nos CRAS do município de São João del-Rei (MG).	Marcos Vieira Silva; Carlos Henrique de Souza Gerken	2016	São João del- Rei	-	https://drive.google.com/file/d/18MHy5XTbvtRkv-9JkeQ9s1Wut5yqLxT3/view?usp=sharing
21	A PRODUÇÃO SOCIAL DA CATAÇÃO DE LIXO	 Luiz Raimundo Tadeu da Silva	Textual	Artigo	Digital	Filosofia	-	-	São João del-Rei (UFSJ)	O artigo busca examinar os mecanismos sistêmicos responsáveis pela produção social do “lixo”, de sua concentração espacial e dos próprios catadores, mecanismos que se vinculam ao imperativo estrutural de acumulação indefinida de capital por meio do aumento contínuo da produção/consumo de mercadorias. Bem como considerar as especificidades do desenvolvimento capitalista num país semiperiférico, responsáveis pela urbanização acelerada e pela formação de enormes contingentes de desempregados compelidos a sobreviver por meio de atividades “informais”.	Eder Jurandir Carneiro	1980 -	São João del- Rei	-	https://drive.google.com/file/d/1IsnxWZxSb04P0qb8SNFUvgrf-DFlvKKl/view?usp=sharing
22	A VALORIZAÇÃO IMOBILIÁRIA EM SÃO JOÃO DEL-REI, TRANSFORMAÇÕES URBANAS	Jadna Téssia Oliveira	Textual	Artigo	Digital	Geografia	-	2016	São Luís (ENG)	Este artigo analisa o crescimento urbano do município de São João del-Rei e a valorização do solo urbano no decênio de 2005-2015 e relacionamos esta valorização com as recentes políticas brasileiras de expansão das Universidades Públicas Federais, que promovem alterações nas dinâmicas demográfica, sócio-espacial e econômica das cidades onde estão inseridas.	Márcio Toledo	2005-2015	São João del- Rei	Bom Pastor, Bonfim/Parque real, Caiera/Vila Belizário, Colinas del-Rei, Colônia do Marçal, Dom Bosco/Cidade Nova, Fábricas/J. Lombardi, Guarda-mór, Matosinhos, Pio XII, São Caetano, São Geraldo, Senhor dos Montes, Tijuco, Vila Marchetti/Jardim Central	https://drive.google.com/file/d/1MgAC8SlO3q0XO-L8uLDag1Sbwgi2pg7J/view?usp=sharing
23	A VERTICALIZAÇÃO DO BAIRRO COLÔNIA DO MARÇAL: EXPANSÃO URBANA E O MERCADO IMOBILIÁRIO EM SÃO JOÃO DEL-REI (MG)	Jeziel Silveira Silva; Denise Leite Marques; Marcio Toledo 	Textual	Artigo	Digital	Geografia	 moradias verticais; agente imobiliário; expansão urbana	2020	Cascavel (Unioeste)	Este artigo tem como objetivo, analisar o surgimento e o crescimento das construções verticais no município de São João del-Rei (MG), através de sua ampliação no sentido norte-nordeste da cidade, no bairro Colônia do Marçal.	-	2000-2019	São João del- Rei	Colônia do Marçal	https://drive.google.com/file/d/1TCFa0hJeluvzORzlpLpDX93vH9EnD_WO/view?usp=sharing
24	ACESSIBILIDADE E MOBILIDADE URBANA COMO CONDIÇÕES SUBSTANCIAIS PARA A APROPRIAÇÃO DO ESPAÇO NO CENTRO HISTÓRICO DE SÃO JOÃO DEL-REI	Márcio Danilo Dos Santos	Textual	Dissertação	Digital	Interdisciplinar (Artes, Urbanidades e Sustentabilidade)	mobilidade; acessibilidade; artivismo; planejador educador; gestão coletiva; empatia	2018	São João del-Rei (UFSJ)	Esta pesquisa foi realizada adotando uma abordagem mais humanista, ligada ao campo da arquitetura e do urbanismo, no intuito de compreender como a arte poderia ser utilizada como um meio para promover mudanças socioculturais e também, de que maneira o artivismo poderia contribuir, enquanto instrumento de ação, para o planejador-educador e para os gestores urbanos, no processo de sensibilização social.	Fernanda Nascimento Corghi; Bezamat de Souza Neto 	-	São João del- Rei	Centro	https://drive.google.com/file/d/1M1ugLEqMg5x7B6OkH6-7jPBVxkiB5MQr/view?usp=sharing
25	ACESSIBILIDADE EM EDIFICAÇÕES TOMBADAS:  UM ESTUDO APLICADO AO MUSEU REGIONAL DE SÃO JOÃO DEL-REI  (SÓ TEM O RESUMO NO DRIVE DA ARQUITETURA)	Julia Haddad Zerlotini	Textual	TFG	Digital	Arquitetura	-	2017	São João del-Rei (UFSJ)	Visita museus do centro histórico de São João del-Rei, avaliando as questões de acessibilidade. Faz estudo específico sobre o tema avaliando o Museu Regional do município. 	 Liziane Perez Mangili	2017	São João del- Rei	Centro	https://drive.google.com/file/d/14_NWUEsvkYV7BUajqA8uAEVbNe6BhtZd/view?usp=sharing
26	AMPARO: ESPAÇO DE APOIO À MULHER	Maraisa Ganza	Textual	TFG	Digital	Arquitetura	-	2019	São João del-Rei (UFSJ)	Faz levantamento das instituições para o tratamento de dependentes químicos na cidade	Ana Cristina Reis Faria	2018-2019	São João del- Rei	Elvas	https://drive.google.com/file/d/1vRdXtGYqahX6OIRfbq9FaHB9iSlG2rZ8/view?usp=sharing
27	ANÁLISE AMBIENTAL DAS ÁREAS PROTEGIDAS NA SERRA DE SÃO JOSÉ (MG), COM ÊNFASE NA PROTEÇÃO DO PATRIMÔNIO ESPELEOLÓGICO	Pedro Henrique Silva Teixeira	Textual	Dissertação	Digital	Geografia	unidades de conservação; espeleologia; análise multicritério; vulnerabilidade	2019	São João del-Rei (UFSJ)	O objetivo desta dissertação é apresentar um modelo de vulnerabilidade ambiental e natural. A área de estudo abrange duas unidades de conservação estadual inseridas na Região Cárstica de São João del-Rei formadas por rochas areno-quartzíticas. A Área de Proteção Ambiental Serra de São José e o Refúgio Estadual de Vida Silvestre Libélulas da Serra de São José ambas localizadas na região do Campo das Vertentes no Estado de Minas Gerais	 Múcio do Amaral Figueiredo; Silvia Elena Ventorini	-	São João del- Rei	Serra São José	https://drive.google.com/file/d/19TEn_qLyw4Ja-ExJNpZ1LwzZW0eCLicl/view?usp=sharing
28	ANÁLISE CRÍTICA DO ATUAL PROCESSO DE EXPANSÃO URBANA EM SÃO JOÃO DEL-REI (MG) A PARTIR DO BAIRRO COLÔNIA DO MARÇAL	Rafael Begname Andrade; Juliar de Souza Oliveira; André Ribeiro Barbosa 	Textual	Artigo	Digital	Geografia	espaço urbano; expansão urbana; São João del-Rei; Colônia do Marçal	2014	Alfenas (UNIFAL)	Este artigo busca compreender quais forças, mecanismos e agentes dão movimento às transformações do espaço urbano	Márcio Toledo	1970-2010	São João del- Rei	-	https://drive.google.com/file/d/1WCea6wGvrFnj4_UT26NSRQmQ_aD2wWh6/view?usp=sharing
29	ANÁLISE MULTICRITÉRIO: MODELOS DE INTERESSE AMBIENTAL E DE ÁREAS PROPÍCIAS À EXPANSÃO URBANA NA BACIA DO CÓRREGO DO LENHEIRO	Thiago Gonçalves Santos	Textual	Artigo	Digital	Geografia	mapeamento digital; planejamento ambiental; planejamento urbano; bacia hidrográfica	2017	Uberlândia (UFU)	O objetivo deste artigo é apresentar a metodologia para gerar modelos de síntese como apoio ao planejamento, gestão ambiental e urbana em bacias hidrográficas com a referida realidade.	Silvia Elena Ventorini	-	São João del- Rei	-	https://drive.google.com/file/d/1U5pwp5PB19TAHZPMQ5U0qLudva9g02TG/view?usp=sharing
30	ARQUITETURA FERROVIÁRIA INDUSTRIAL: O CASO DAS CIDADES DE SÃO JOÃO DEL-REI E JUIZ DE FORA (1875 -1930)	Danielle Couto Moreira	Textual	Dissertação	Digital	Arquitetura e Urbanismo	arquitetura fabril; arquitetura ferroviária; habitação operária; patrimônio industrial	2007	São Paulo (USP)	Trata da análise e reflexão acerca da arquitetura da era industrial empreendida nas cidades de Juiz de Fora e São João del-Rei, durante o período de 1875 a 1930.	Telma de Barros Correia 	1875 -1930	São João del- Rei e Juiz de Fora	Matosinhos, Fábricas	https://drive.google.com/file/d/10VhgFcuJoFNvMsft1eWxGZDGMvBoGiSV/view?usp=sharing
31	AS MULHERES DA ORQUESTRA RIBEIRO BASTOS DE SÃO JOÃO DEL-REI MG	Gabriel Heitor Ribeiro	Textual	Dissertação	Digital	Interdisciplinar (Artes, Urbanidades e Sustentabilidade)	mulheres; orquestra Ribeiro Bastos; música; feminina; inserção social	2018	São João del-Rei (UFSJ)	A pesquisa dessa dissertação iniciou criando um questionamento sobre “o papel das mulheres na música sacra sanjoanense” qual a importância e caminhos que as mulheres percorreram para conquistarem espaço e reconhecimento na música, em especial na Orquestra Ribeiro Bastos”. E indo além disso, a pesquisa levou em consideração o que de fato representou para as mulheres serem musicistas numa orquestra religiosa predominantemente masculina em seus primórdios.	Valéria M.M. Judice; Maria Ângela Araújo Resende	séc XVIII-2018	São João del- Rei	-	https://drive.google.com/file/d/15oru0t7KRQcYxut19QoYqrbiHdPXIjQ-/view?usp=sharing
32	AS TRANSFORMAÇÕES HISTÓRICAS E A DINÂMICA ATUAL DA PAISAGEM DA SERRA DO LENHEIRO, SÃO JOÃO DEL-REI, MINAS GERAIS	Helton Santos Lopes Barbosa	Textual	Dissertação	Digital	Geografia	GTP; Serra do Lenheiro; percepção ambiental-paisagística	2019	São João del-Rei (UFSJ)	O surgimento da cidade de São João del-Rei entre o fim do século XVII e início do século XVIII está diretamente relacionado com a Serra do Lenheiro em decorrência de sua abundância aurífera. Buscou-se através da aplicação do sistema tripolar Geossistema, Território e Paisagem (GTP), compreender as transformações históricas e a dinâmica atual da paisagem da Serra do Lenheiro, com ênfase nas áreas ocupadas pela malha urbana da cidade a partir do século XIX	 Múcio do Amaral Figueiredo;  Silvia Elena Ventorini	séc. XVII - séc XIX	São João del- Rei	Serra do Lenheiro	https://drive.google.com/file/d/1iaZk4GlN6buRClLyVy2itQ1r7ci6_qgL/view?usp=sharing
33	ATUAÇÃO DO PROGRAMA MINHA CASA MINHA VIDA EM SÃO JOÃO DEL REI, MINAS GERAIS	Jaine Cristina Ferreira	Textual	Artigo	Digital	Políticas Públicas	programa minha casa minha vida; déficit habitacional; eficácia; São João Del Rei (MG)	2016	Belo Horizonte (UFMG)	Este trabalho analisa a atuação do Programa Minha Casa Minha Vida e sua contribuição para a redução do déficit habitacional de São João Del Rei (MG).	Aline Cristina Cruz; Daniela Almeida Raposo Torres	2009-2014	São João del- Rei	Parque das Cachoeiras, o Risoleta Neves e o Risoleta Neves II	https://drive.google.com/file/d/1ta3uhTfoY-6J9vp0_EgPBtvxTSi-x0aZ/view?usp=sharing
34	CASA AURORA: CENTRO DE PARTO NORMAL QUE OFERECE ACOLHIMENTO E  ATENÇÃO HUMANIZADA À GRAVIDEZ, PARTO E PUERPÉRIO EM SÃO JOÃO DEL-REI.	Júlia Costa Teixeira Roque	Textual	TFG	Digital	Arquitetura	-	2019	São João del-Rei (UFSJ)	Faz levantamentos sobre parto normal no município e realiza entrevistas com mães usuárias dos serviços de saúde no que dizem respeito ao acompanhamento da gravidez, pré-natal, parto e puerpério no município de São João del-Rei.	Ana Cristina Reis Faria	2014-2019	São João del- Rei	-	https://drive.google.com/file/d/1uzxk0AKwqmtS0-BaNhn-NfycBPu90X99/view?usp=sharing
35	CENTRO DE APOIO, CONSCIENTIZAÇÃO E EMPODERAMENTO FEMININO DE SÃO JOÃO DEL-REI, M.G.: DEMOCRATIZANDO A LUTA PELA REDUÇÃO DA DESIGUALDADE E VIOLÊNCIA DE GÊNERO. 	Mariah Santos Barcellos	Textual	TFG	Digital	Arquitetura	-	2019	São João del-Rei (UFSJ)	Faz estudo teórico e diagnósticos para compreender estratégias de integração entre coletivos feministas com a população feminina vulnerável, buscando democratizar o debate da desigualdade e violência de gênero em São João del-Rei. 	Daniela Abritta Cota	2019	São João del- Rei	Centro	https://drive.google.com/file/d/1iR6CaUfaTnpTyIS-RnhqZ3nwjhFkmajn/view?usp=sharing
